id;name;code;image;sort
1;Десерты;desserts;десерты.png;140
2;Пицца;pizza;пицца.png;120
3;Блюда из мяса;meat;мясо.png;40
4;Фритюр;fryer;фритюр.png;130
5;Выпечка;bakery;пирожки.png;30
6;В духовке;oven;духовка.png;110
7;Котлеты;cutlets;котлеты.png;90
8;Блюда из гречки;buckwheat;гречка.png;50
9;Супы;soup;суп.png;20
10;Завтраки;breakfast;завтраки.png;10
11;Блюда из риса;rice;рис.png;60
12;Блюда из картошки;potato;картошка.png;70
13;Макароны;pasta;макароны.png;80
14;Роллы;roll;роллы.png;135
15;Салаты;salad;салат.png;136
16;Маринады;marinade;маринад.png;137
17;Лимонады;lemonade;лимонад.png;149
18;Лайфхаки;lifehack;лайфхаки.png;150
19;Гарниры;garnirs;гарниры.png;1
