id;text;receipt_code;created_at;updated_at
2;Стакан обьемом 300мл;cake-3-cups;2025-06-15 12:54:07;2025-06-15 12:54:08
3;Собираем торт и даем  ему пропитаться 2 часика;cake-3-cups;2025-06-15 12:54:07;2025-06-15 12:54:08
4;Форма на видео 30х11х5см;tiramisu;;
5;Выпекаем бисквит 180 градусов 7-10 минут;snickers-cake;;
6;Форма на видео 17*17 см;tiramisu-2;;
8;Отправить в морозилку на 30-40 минут;glazed-cheese;;
9;Для начинки можно использовать сгущенку или джем;glazed-cheese;;
1;Пюре надо ПОЛНОСТЬЮ остудить;potato-zrazy;;
10;Ингредиенты рассчитаны на 2 кг мяса;kefir-marinade;;
7;Ингредиенты рассчитаны на 1 кг мяса;onion-marinade;;
11;Расчёт на 1 большой стакан;lemonade-strawberry-lemon-mint;;
12;Расчёт на 1 большой стакан;lemonade-kiwi-lime;;
13;Расчёт на 1 большой стакан;brazil-lemonade;;
14;Бульон варить на лопатке, где-то 1.5 часа;borsch;;
15;Всё тереть на тёрке;okroshka;;
16;Добавлять больше сахара;pancakes;;
17;Можно добавить чуть больше манки, чтобы каша была гуще;semolina;;
18;Готовить 45-50 минут;nests;;
19;Ингредиенты рассчитаны на 4 порции;ham-cheese-pies;;
20;20 минут при температуре 180 градусов;chicken-roll-mushrooms-cheese-bacon-cap;;
21;Воздушная кукуруза продаётся в отделе сухих завтраков;cheesecakes-kinder-country;;
22;Ингредиенты рассчитаны на форму 20 см;cheesecakes-kinder-country;;
23;Чтобы воздушная кукуруза хрустела, то используйте чисто растопленный белый шоколад без сливок (но тогда возьмите ~150-200гр) вылейте на чизкейк сначала его, затем высыпьте воздушную кукурузу, а сверху растопленный молочный шоколад (тоже ~150);cheesecakes-kinder-country;;
